Feature Identifier,Feature Name
http://opendatacommunities.org/id/geography/administration/lsoa/E01006512,Liverpool 031A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006513,Liverpool 060A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006514,Liverpool 037A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006515,Liverpool 037B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006518,Liverpool 044A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006519,Liverpool 056A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006520,Liverpool 043A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006521,Liverpool 052A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006522,Liverpool 048A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006523,Liverpool 052B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006524,Liverpool 048B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006525,Liverpool 049A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006526,Liverpool 048C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006527,Liverpool 053A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006528,Liverpool 052C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006529,Liverpool 048D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006530,Liverpool 055A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006531,Liverpool 055B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006532,Liverpool 047A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006533,Liverpool 055C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006534,Liverpool 054A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006535,Liverpool 054B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006536,Liverpool 054C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006537,Liverpool 055D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006538,Liverpool 055E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006539,Liverpool 047B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006540,Liverpool 024A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006541,Liverpool 015A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006542,Liverpool 018A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006543,Liverpool 015B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006544,Liverpool 015C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006545,Liverpool 019A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006546,Liverpool 019B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006547,Liverpool 019C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006548,Liverpool 019D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006549,Liverpool 043B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006550,Liverpool 038A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006551,Liverpool 048E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006552,Liverpool 039A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006553,Liverpool 042A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006554,Liverpool 048F
http://opendatacommunities.org/id/geography/administration/lsoa/E01006556,Liverpool 039B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006557,Liverpool 038B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006558,Liverpool 018B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006560,Liverpool 023A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006562,Liverpool 018E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006563,Liverpool 024B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006564,Liverpool 023B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006565,Liverpool 029A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006566,Liverpool 032A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006567,Liverpool 026A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006568,Liverpool 026B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006569,Liverpool 029B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006570,Liverpool 026C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006571,Liverpool 026D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006572,Liverpool 025A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006573,Liverpool 029C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006574,Liverpool 025B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006575,Liverpool 034A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006576,Liverpool 034B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006577,Liverpool 034C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006578,Liverpool 036A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006579,Liverpool 034D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006580,Liverpool 036B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006581,Liverpool 036C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006582,Liverpool 041A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006583,Liverpool 047C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006584,Liverpool 034E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006585,Liverpool 032B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006586,Liverpool 032C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006587,Liverpool 032D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006588,Liverpool 042C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006589,Liverpool 041B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006590,Liverpool 042D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006591,Liverpool 041C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006592,Liverpool 041D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006593,Liverpool 042E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006594,Liverpool 047D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006595,Liverpool 049B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006596,Liverpool 049C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006597,Liverpool 041E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006598,Liverpool 010A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006599,Liverpool 010B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006600,Liverpool 011A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006603,Liverpool 011B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006604,Liverpool 016A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006605,Liverpool 016B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006606,Liverpool 020A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006607,Liverpool 008A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006608,Liverpool 009A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006609,Liverpool 009B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006610,Liverpool 009C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006611,Liverpool 012A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006612,Liverpool 008B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006613,Liverpool 009D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006614,Liverpool 012B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006615,Liverpool 012C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006616,Liverpool 015D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006617,Liverpool 021A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006618,Liverpool 016C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006619,Liverpool 021B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006620,Liverpool 021C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006621,Liverpool 021D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006622,Liverpool 021E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006623,Liverpool 013A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006624,Liverpool 013B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006625,Liverpool 016D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006626,Liverpool 016E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006627,Liverpool 013C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006628,Liverpool 052D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006629,Liverpool 052E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006630,Liverpool 044B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006632,Liverpool 044C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006633,Liverpool 050B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006637,Liverpool 017A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006638,Liverpool 017B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006639,Liverpool 017C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006640,Liverpool 021F
http://opendatacommunities.org/id/geography/administration/lsoa/E01006641,Liverpool 025C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006642,Liverpool 025D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006643,Liverpool 025E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006644,Liverpool 017D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006645,Liverpool 017E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006646,Liverpool 023C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006647,Liverpool 024C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006648,Liverpool 023D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006651,Liverpool 001A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006652,Liverpool 002A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006653,Liverpool 001B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006654,Liverpool 005A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006655,Liverpool 001C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006656,Liverpool 002B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006657,Liverpool 002C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006658,Liverpool 001D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006659,Liverpool 005B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006660,Liverpool 001E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006661,Liverpool 004A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006662,Liverpool 004B
